Name,Date_2022-12-26 00:00:00,Date_2022-12-27 00:00:00,Date_2022-12-28 00:00:00,Date_2022-12-29 00:00:00,Date_2022-12-30 00:00:00,Date_2022-12-31 00:00:00,Date_2022-01-01 00:00:00,Date_2022-01-02 00:00:00,Date_2022-01-03 00:00:00
Aaron Cresswell,1,1,1,1,1,1,1,1,1
Alex McCarthy,1,1,1,1,1,1,1,1,1
Andrew Omobamidele,1,1,1,1,1,1,1,1,1
Andrew Robertson,1,1,1,1,1,1,1,1,1
Andros Townsend,1,1,1,1,1,1,1,1,1
Angelo Ogbonna,1,1,1,1,1,1,1,1,1
Anthony Martial,1,1,1,1,1,1,1,1,1
Ashley Barnes,1,1,1,1,1,1,1,1,1
Ben Chilwell,1,1,1,1,1,1,1,1,1
Ben Foster,1,1,1,1,1,1,1,1,1
Benjamin Mendy,1,1,1,1,1,1,1,1,1
Caglar Soyuncu,1,1,1,1,1,1,1,1,1
Calum Chambers,1,1,1,1,1,1,1,1,1
Charlie Cresswell,1,1,1,1,1,1,1,1,1
Charlie Goode,1,1,1,1,1,1,1,1,1
Christian Kabasele,1,1,1,1,1,1,1,1,1
Christoph Zimmermann,1,1,1,1,1,1,1,1,1
Connor Roberts,1,1,1,1,1,1,1,1,1
Cristian Romero,1,1,1,1,1,1,1,1,1
David Raya Martin,1,1,1,1,1,1,1,1,1
Fabian Delph,1,1,1,1,1,1,1,1,1
Federico Fernandez,1,1,1,1,1,1,1,1,1
Grant Hanley,1,1,1,1,1,1,1,1,1
Harvey Elliott,1,1,1,1,1,1,1,1,1
Hee-Chan Hwang,1,1,1,1,1,1,1,1,1
Isaac Hayden,1,1,1,1,1,1,1,1,1
Ismaila Sarr,1,1,1,1,1,1,1,1,1
Jamal Lewis,1,1,1,1,1,1,1,1,1
James Justin,1,1,1,1,1,1,1,1,1
James McArthur,1,1,1,1,1,1,1,1,1
Jamie Shackleton,1,1,1,1,1,1,1,1,1
Javier Manquillo,1,1,1,1,1,1,1,1,1
Jeremy Sarmiento,1,1,1,1,1,1,1,1,1
Jonny Castro Otto,1,1,1,1,1,1,1,1,1
Joshua Dasilva,1,1,1,1,1,1,1,1,1
Julian Jeanvier,1,1,1,1,1,1,1,1,1
Jurgen Locadia,1,1,1,1,1,1,1,1,1
Kalvin Phillips,1,1,1,1,1,1,1,1,1
Kurt Zouma,1,1,1,1,1,1,1,1,1
Kwadwo Baah,1,1,1,1,1,1,1,1,1
Leon Bailey,1,1,1,1,1,1,1,1,1
Lewis Dunk,1,1,1,1,1,1,1,1,1
Liam Cooper,1,1,1,1,1,1,1,1,1
Liam Delap,1,1,1,1,1,1,1,1,1
Lukas Rupp,1,1,1,1,1,1,1,1,1
Marvelous Nakamba,1,1,1,1,1,1,1,1,1
Mathias Jorgensen,1,1,1,1,1,1,1,1,1
Mathias Normann,1,1,1,1,1,1,1,1,1
Milot Rashica,1,1,1,1,1,1,1,1,1
Nathaniel Phillips,1,1,1,1,1,1,1,1,1
Nicolas N'Koulou,1,1,1,1,1,1,1,1,1
Pascal Struijk,1,1,1,1,1,1,1,1,1
Patrick Bamford,1,1,1,1,1,1,1,1,1
Paul Dummett,1,1,1,1,1,1,1,1,1
Paul Pogba,1,1,1,1,1,1,1,1,1
Pedro Lomba Neto,1,1,1,1,1,1,1,1,1
Peter Etebo,1,1,1,1,1,1,1,1,1
Pierre-Emerick Aubameyang,1,1,1,1,1,1,1,1,1
Ricardo Barbosa Pereira,1,1,1,1,1,1,1,1,1
Richarlison de Andrade,1,1,1,1,1,1,1,1,1
Rico Henry,1,1,1,1,1,1,1,1,1
Rodrigo Moreno Machado,1,1,1,1,1,1,1,1,1
Romelu Lukaku,1,0,0,0,0,0,0,1,1
Ruben Loftus-Cheek,1,1,1,1,1,1,1,1,1
Ryan Sessegnon,1,1,1,1,1,1,1,1,1
Sead Kolasinac,1,1,1,1,1,1,1,1,1
Thiago Alcantara,1,1,0,1,1,1,1,1,1
Tim Krul,1,1,1,1,1,1,1,1,1
Timo Werner,1,1,1,1,1,1,1,1,1
Tom Davies,1,1,1,1,1,1,1,1,1
Victor Lindelof,1,0,1,1,1,1,1,1,1
Wesley Fofana,1,1,1,1,1,1,1,1,1
Willy Boly,1,1,1,1,1,1,1,1,1
Yerry Mina,1,1,1,1,1,1,1,1,1
Yerson Mosquera,1,1,1,1,1,1,1,1,1
Maxwel Cornet,1,1,1,1,1,1,1,1,1
Wilfried Zaha,1,1,1,1,1,1,1,1,1
Kurt Zouma,1,1,1,1,1,1,1,1,1
Divock Origi
Ashley Young,0,1,1,1,1,1,1,1,1
John Stones,0,1,1,1,1,1,1,1,1
Harvey Barnes,0,1,1,1,0,0,0,0,0
Ferran Torres Garcia,1,1,1,1,0,0,0,0,0
Ciaran Clark,0,0,1,1,1,1,1,1,1
Danny Rose,0,0,1,1,1,1,1,1,1
Jonny Evans,0,1,1,1,1,1,1,1,1
Joseph Willock,0,0,1,1,1,1,1,1,1
Nathaniel Clyne,0,1,1,1,1,1,0,0,0